,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct
248,Uzbekistan,1405.0,4.0,156.0,1245.0,2020-04-17,20,56.0,0.04151223128243142
249,Armenia,1248.0,20.0,523.0,705.0,2020-04-18,30,47.0,0.039134054954204744
250,Azerbaijan,1373.0,18.0,590.0,765.0,2020-04-18,23,33.0,0.02462686567164174
251,Georgia,388.0,4.0,86.0,298.0,2020-04-18,19,18.0,0.048648648648648596
252,Kazakhstan,1615.0,17.0,377.0,1221.0,2020-04-18,23,69.0,0.04463130659767134
253,Kyrgyzstan,506.0,5.0,130.0,371.0,2020-04-18,18,17.0,0.03476482617586907
254,Uzbekistan,1490.0,5.0,194.0,1291.0,2020-04-18,21,85.0,0.06049822064056931
255,Armenia,1291.0,20.0,545.0,726.0,2020-04-19,31,43.0,0.034455128205128194
256,Azerbaijan,1398.0,19.0,712.0,667.0,2020-04-19,24,25.0,0.018208302986161717
257,Georgia,394.0,4.0,93.0,297.0,2020-04-19,20,6.0,0.015463917525773141
258,Kazakhstan,1676.0,17.0,400.0,1259.0,2020-04-19,24,61.0,0.037770897832817285
259,Kyrgyzstan,554.0,5.0,133.0,416.0,2020-04-19,19,48.0,0.09486166007905128
260,Uzbekistan,1565.0,5.0,225.0,1335.0,2020-04-19,22,75.0,0.05033557046979875
261,Armenia,1339.0,22.0,580.0,737.0,2020-04-20,32,48.0,0.03718048024786991
262,Azerbaijan,1436.0,19.0,791.0,626.0,2020-04-20,25,38.0,0.027181688125894166
263,Georgia,402.0,4.0,95.0,303.0,2020-04-20,21,8.0,0.020304568527918843
264,Kazakhstan,1852.0,19.0,447.0,1386.0,2020-04-20,25,176.0,0.1050119331742243
265,Kyrgyzstan,568.0,7.0,201.0,360.0,2020-04-20,20,14.0,0.025270758122743597
266,Uzbekistan,1627.0,5.0,261.0,1361.0,2020-04-20,23,62.0,0.03961661341853029
267,Armenia,1401.0,24.0,609.0,768.0,2020-04-21,33,62.0,0.04630321135175497
268,Azerbaijan,1480.0,20.0,865.0,595.0,2020-04-21,26,44.0,0.03064066852367686
269,Georgia,408.0,4.0,97.0,307.0,2020-04-21,22,6.0,0.014925373134328401
270,Kazakhstan,1995.0,19.0,489.0,1487.0,2020-04-21,26,143.0,0.07721382289416856
271,Kyrgyzstan,590.0,7.0,216.0,367.0,2020-04-21,21,22.0,0.03873239436619724
272,Uzbekistan,1678.0,6.0,357.0,1315.0,2020-04-21,24,51.0,0.031346035648432746
273,Armenia,1473.0,24.0,633.0,816.0,2020-04-22,34,72.0,0.051391862955032064
274,Azerbaijan,1518.0,20.0,907.0,591.0,2020-04-22,27,38.0,0.025675675675675746
275,Georgia,416.0,5.0,107.0,304.0,2020-04-22,23,8.0,0.019607843137254832
276,Kazakhstan,2135.0,19.0,515.0,1601.0,2020-04-22,27,140.0,0.07017543859649122
277,Kyrgyzstan,612.0,7.0,254.0,351.0,2020-04-22,22,22.0,0.03728813559322042
278,Uzbekistan,1716.0,7.0,450.0,1259.0,2020-04-22,25,38.0,0.022646007151370773
279,Armenia,1523.0,24.0,659.0,840.0,2020-04-23,35,50.0,0.0339443312966734
280,Azerbaijan,1548.0,20.0,948.0,580.0,2020-04-23,28,30.0,0.01976284584980248
281,Georgia,425.0,5.0,111.0,309.0,2020-04-23,24,9.0,0.02163461538461542
282,Kazakhstan,2289.0,20.0,560.0,1709.0,2020-04-23,28,154.0,0.0721311475409836
283,Kyrgyzstan,631.0,8.0,302.0,321.0,2020-04-23,23,19.0,0.031045751633986818
284,Uzbekistan,1758.0,7.0,561.0,1190.0,2020-04-23,26,42.0,0.02447552447552437
285,Armenia,1596.0,27.0,728.0,841.0,2020-04-24,36,73.0,0.04793171372291538
286,Azerbaijan,1592.0,21.0,1013.0,558.0,2020-04-24,29,44.0,0.028423772609819098
287,Georgia,444.0,5.0,132.0,307.0,2020-04-24,25,19.0,0.04470588235294115
288,Kazakhstan,2482.0,25.0,604.0,1853.0,2020-04-24,29,193.0,0.08431629532546969
289,Kyrgyzstan,665.0,8.0,345.0,312.0,2020-04-24,24,34.0,0.0538827258320127
290,Uzbekistan,1804.0,8.0,621.0,1175.0,2020-04-24,27,46.0,0.026166097838452806
291,Armenia,1677.0,28.0,803.0,846.0,2020-04-25,37,81.0,0.050751879699248104
